"Model","n","AdjR2","AIC"
"Clinical only",177,0.253187777236253,983.663891103962
"Laboratory only",177,-0.0085308113347724,1035.87921229058
"Ultrasound only",177,0.045020916367424,1026.22200904962
"Clinical + lab",177,0.236716975817667,992.241192891183
"Clinical + ultrasound",177,0.265035565629475,985.549391221731
"Full multimodal",177,0.249578760942938,993.786636334703
