Model,threshold,fpr,tpr
Ovary-centric,inf,0.0,0.0
Ovary-centric,0.9995738106378781,0.0,0.018867924528301886
Ovary-centric,0.9967338218806143,0.0,0.03773584905660377
Ovary-centric,0.996272873970058,0.0,0.05660377358490566
Ovary-centric,0.9929842910213436,0.0,0.07547169811320754
Ovary-centric,0.9907472258607598,0.0,0.09433962264150944
Ovary-centric,0.9882853294752517,0.0,0.11320754716981132
Ovary-centric,0.9780554358127086,0.0,0.1320754716981132
Ovary-centric,0.9767238082126706,0.0,0.1509433962264151
Ovary-centric,0.9751526767031465,0.0,0.16981132075471697
Ovary-centric,0.9658643270527439,0.0,0.18867924528301888
Ovary-centric,0.9592237343981149,0.0,0.20754716981132076
Ovary-centric,0.9509854136869641,0.0,0.22641509433962265
Ovary-centric,0.9507873841599029,0.0,0.24528301886792453
Ovary-centric,0.9476988188714761,0.0,0.2641509433962264
Ovary-centric,0.927344856753039,0.0,0.2830188679245283
Ovary-centric,0.9235646389575042,0.0,0.3018867924528302
Ovary-centric,0.9209079804394638,0.0,0.32075471698113206
Ovary-centric,0.9201183608040624,0.0,0.33962264150943394
Ovary-centric,0.9177979953678362,0.0,0.3584905660377358
Ovary-centric,0.9159356170536901,0.009174311926605505,0.3584905660377358
Ovary-centric,0.9156418374811964,0.009174311926605505,0.37735849056603776
Ovary-centric,0.9101390978844552,0.009174311926605505,0.39622641509433965
Ovary-centric,0.8997712021452164,0.009174311926605505,0.41509433962264153
Ovary-centric,0.8948245755191345,0.009174311926605505,0.4339622641509434
Ovary-centric,0.8879882638881291,0.009174311926605505,0.4528301886792453
Ovary-centric,0.8805193465407275,0.009174311926605505,0.4716981132075472
Ovary-centric,0.8704014120917283,0.009174311926605505,0.49056603773584906
Ovary-centric,0.8680020438307754,0.01834862385321101,0.49056603773584906
Ovary-centric,0.8519196251339833,0.01834862385321101,0.5094339622641509
Ovary-centric,0.8445799945380564,0.01834862385321101,0.5283018867924528
Ovary-centric,0.8375678123124457,0.027522935779816515,0.5283018867924528
Ovary-centric,0.8316595032755176,0.03669724770642202,0.5283018867924528
Ovary-centric,0.809980693411117,0.03669724770642202,0.5471698113207547
Ovary-centric,0.809579978522684,0.03669724770642202,0.5660377358490566
Ovary-centric,0.798631743010513,0.03669724770642202,0.5849056603773585
Ovary-centric,0.7724874274508281,0.045871559633027525,0.5849056603773585
