Model,n_complete,n_train,n_test,fit_method,AUC,Brier score,Accuracy,Sensitivity,Specificity,Precision
Ovary-centric,540,378,162,GLM binomial,0.919,0.106,0.864,0.792,0.899,0.792
Metabolic + symptom,540,378,162,GLM binomial,0.86,0.135,0.833,0.736,0.881,0.75
